BKMLJIHP_00010	GH51
EAFDNLLG_00280	GH31
EAFDNLLG_00352	GT2
EAFDNLLG_00417	CE9
EAFDNLLG_00490	GH1
EAFDNLLG_00492	GH1
EAFDNLLG_00566	GT4
EAFDNLLG_00567	GT4
EAFDNLLG_00752	CE7
EAFDNLLG_00815	GT51
EAFDNLLG_00870	GH1
EAFDNLLG_00894	GH5_4-CBM65
EAFDNLLG_00954	GH36
EAFDNLLG_00998	GH73
EAFDNLLG_01008	CBM13-GH5_8
EAFDNLLG_01136	GH3
EAFDNLLG_01137	GH3
EAFDNLLG_01480	GT2
EAFDNLLG_01495	GH25
EAFDNLLG_01497	GT5
EAFDNLLG_01519	GT2
EAFDNLLG_01520	GT2
EAFDNLLG_01550	CBM48-GH13_9
EAFDNLLG_01592	GH23
EAFDNLLG_01593	CBM50
EAFDNLLG_01639	GH73
EAFDNLLG_01651	GH42
EAFDNLLG_01677	GT8
EAFDNLLG_01743	GH1
EAFDNLLG_01814	GH32
EAFDNLLG_01828	CBM50
EAFDNLLG_01896	GT51
DOLAIFOP_00003	GH105
DOLAIFOP_00125	GT32
DOLAIFOP_00244	GH35
DOLAIFOP_00281	GH1
DOLAIFOP_00315	GH23
DOLAIFOP_00316	GH73-CBM50-CBM50-CBM50-CBM50
DOLAIFOP_00378	GT2
DOLAIFOP_00397	GH23
DOLAIFOP_00411	GH13_31
DOLAIFOP_00475	GT4
DOLAIFOP_00476	GT4
DOLAIFOP_00479	GH154
DOLAIFOP_00530	GH36
DOLAIFOP_00554	GH3
DOLAIFOP_00577	GT4
DOLAIFOP_00578	GT4
DOLAIFOP_00580	CE9
DOLAIFOP_00659	GH125
DOLAIFOP_00758	CE9
DOLAIFOP_00928	GT51
DOLAIFOP_01096	GH65
DOLAIFOP_01197	GH2
DOLAIFOP_01229	GT51
DOLAIFOP_01244	GH13_31
DOLAIFOP_01317	CBM50
DOLAIFOP_01333	GH154
DOLAIFOP_01467	GT2
DOLAIFOP_01487	GT4
DOLAIFOP_01574	GH65
DOLAIFOP_01609	GT2
DOLAIFOP_01624	GT51
DOLAIFOP_01681	GH13_31
DOLAIFOP_01703	GH23
DOLAIFOP_01708	GT2
DOLAIFOP_01722	GT2
DOLAIFOP_01729	GT2
DOLAIFOP_01911	GH73
DOLAIFOP_01926	GH1
DOLAIFOP_02051	GH1
DOLAIFOP_02088	GT2
DOLAIFOP_00037	GH73-CBM50
DOLAIFOP_00098	GH63
DOLAIFOP_01024	GH18-GH20
DOLAIFOP_01094	AA10
DOLAIFOP_01222	GH73
DOLAIFOP_01427	GH25-CBM50-CBM50
DOLAIFOP_01732	GH88
DOLAIFOP_01750	GT2
DOLAIFOP_01814	GH92
DOLAIFOP_01957	GH1
DOLAIFOP_01986	GH73
LEFPIMDI_00001	CBM50
LEFPIMDI_00062	GT4
LEFPIMDI_00337	GT4
LEFPIMDI_00343	GH23
LEFPIMDI_00399	CBM50
LEFPIMDI_00627	GT2
LEFPIMDI_00670	GH65
LEFPIMDI_00682	GH2
LEFPIMDI_01000	GH13_31
LEFPIMDI_01102	GT51
LEFPIMDI_01225	GH13_9
LEFPIMDI_01618	GH23
LEFPIMDI_00282	GT4
LEFPIMDI_00572	GH73-CBM50-CBM50-CBM50-CBM50-CBM50
LEFPIMDI_00996	CBM50
LEFPIMDI_01423	GT111
LEFPIMDI_01461	GH25
LEFPIMDI_00074	GT32
LEFPIMDI_00081	GT8
LEFPIMDI_00089	GH43_11
LEFPIMDI_00285	GT2
LEFPIMDI_00325	GT8
LEFPIMDI_00542	GH25-CBM50-CBM50-CBM50
LEFPIMDI_00570	GH13_18
LEFPIMDI_00628	GH8
LEFPIMDI_00688	CBM34-GH13_20
LEFPIMDI_00701	GH42
LEFPIMDI_00745	GH36
LEFPIMDI_00764	CBM50
LEFPIMDI_00881	GT28
LEFPIMDI_00943	GH32
LEFPIMDI_00960	GH73
LEFPIMDI_01138	GT51
LEFPIMDI_01221	GT35
LEFPIMDI_01222	GT5
LEFPIMDI_01242	GT4
LEFPIMDI_01243	GT4
LEFPIMDI_01282	GT8
LEFPIMDI_01615	GH25
DJFDGEMF_00076	GT2-GT4
DJFDGEMF_00200	GH20
DJFDGEMF_00219	GT39
DJFDGEMF_00453	GT4
DJFDGEMF_00551	GT2
DJFDGEMF_00767	GT2
DJFDGEMF_00848	GT2
DJFDGEMF_01250	GT2
DJFDGEMF_01310	CE9
KNCELONH_00030	GH25
KNCELONH_00054	GT26
KNCELONH_00162	GH2
KNCELONH_00194	CBM5-CBM5-GH18-CBM5-CBM5-CBM5
KNCELONH_00308	GT4
KNCELONH_00601	GH13_9
KNCELONH_00603	GH13_39
KNCELONH_00699	GT28
KNCELONH_00827	GH42
KNCELONH_00990	CE4
KNCELONH_01001	GH2
KNCELONH_01161	GH77
KNCELONH_01181	GH5_37
KNCELONH_01263	GT4
KNCELONH_01264	GT4
KNCELONH_01268	GT101
KNCELONH_01269	GT2
KNCELONH_01292	GH24
KNCELONH_01319	GH36
KNCELONH_01352	GH13_31
KNCELONH_01416	CE4
KNCELONH_01558	GT39
KNCELONH_01706	GH3
KNCELONH_00223	GT35
KNCELONH_00602	GT5
KNCELONH_00878	CE14
KNCELONH_00942	GT4
KNCELONH_01545	GH94
KNCELONH_01546	GH94
KNCELONH_01707	GH78
FHJBGELA_00422	GT28
FHJBGELA_00789	GH25
FHJBGELA_01284	CE4
FHJBGELA_01561	GT51
FHJBGELA_01649	GT26
FHJBGELA_00176	GT2
FHJBGELA_00260	GT2
FHJBGELA_00677	GH5_4
BGHLOPEG_00003	GT32
BGHLOPEG_00085	GT8
BGHLOPEG_00086	GT8
BGHLOPEG_00094	GT2
BGHLOPEG_00129	GT1
BGHLOPEG_00152	GH73
BGHLOPEG_00186	GT51
BGHLOPEG_00187	GH94
BGHLOPEG_00270	GT2
BGHLOPEG_00331	GH73
BGHLOPEG_00374	GT4
BGHLOPEG_00376	GT2
BGHLOPEG_00416	GT4
BGHLOPEG_00427	GT2
BGHLOPEG_00643	GT2
BGHLOPEG_00789	GH1
BGHLOPEG_00828	GT2
BGHLOPEG_00830	GT2
BGHLOPEG_00927	GH38
BGHLOPEG_00952	GH27
BGHLOPEG_00965	GT2
BGHLOPEG_00988	GT4
BGHLOPEG_00990	GT4
BGHLOPEG_00993	GT2
BGHLOPEG_01045	GT51
BGHLOPEG_01051	CBM50
BGHLOPEG_01065	GT2
BGHLOPEG_01220	GT4
BGHLOPEG_01255	GT4
BGHLOPEG_01269	GT28
BGHLOPEG_01329	GH23
BGHLOPEG_01436	GT2
BGHLOPEG_01519	GT2
BGHLOPEG_01521	GT2
BGHLOPEG_01522	GH15
BGHLOPEG_01536	GT8
BGHLOPEG_01712	GT4
BGHLOPEG_01764	GT2
BGHLOPEG_01781	GT4
BGHLOPEG_01813	GT4
BGHLOPEG_01850	GH94
BGHLOPEG_02009	GT2
BGHLOPEG_02058	GT63
BGHLOPEG_02189	CBM50
BGHLOPEG_02246	GH18
BGHLOPEG_02263	GT4
BGHLOPEG_02284	GT4
BGHLOPEG_00130	GT1
BGHLOPEG_00257	GH57
BGHLOPEG_00360	GT4
BGHLOPEG_00419	GT2
BGHLOPEG_00717	GT4
BGHLOPEG_00784	GH13_31
BGHLOPEG_00833	GT111
BGHLOPEG_00987	GT4
BGHLOPEG_00998	GT35
BGHLOPEG_01532	CE4
BGHLOPEG_01991	GT2
BGHLOPEG_02362	GT2
BGHLOPEG_02379	GH13_5
BGHLOPEG_01055	GT4
BGHLOPEG_01056	GT2
BGHLOPEG_01057	GT2
BGHLOPEG_01880	GT4
BGHLOPEG_02219	GT4
AAIIIFJP_00021	CE9
AAIIIFJP_00060	GT35
AAIIIFJP_00120	GH67
AAIIIFJP_00145	GH2
AAIIIFJP_00214	GT2
AAIIIFJP_00266	GH3
AAIIIFJP_00283	GT28
AAIIIFJP_00319	GH20
AAIIIFJP_00354	GT2
AAIIIFJP_00358	GT2
AAIIIFJP_00456	GT2
AAIIIFJP_00588	GH67
AAIIIFJP_00747	CE4
AAIIIFJP_00958	GH28
AAIIIFJP_00968	GT4-GT4
AAIIIFJP_00970	GT2
AAIIIFJP_00999	GH2
AAIIIFJP_01001	GT4
AAIIIFJP_01050	GH73
AAIIIFJP_01062	GT2
AAIIIFJP_01074	GT2
AAIIIFJP_01113	GH13
AAIIIFJP_01187	GT2
AAIIIFJP_01206	GH13_39-GH77
AAIIIFJP_00660	GT2
AAIIIFJP_00966	GT2
GEHCNCEO_00017	GT4
GEHCNCEO_00053	GH39
GEHCNCEO_00089	GH3
GEHCNCEO_00120	GH3
GEHCNCEO_00132	GT2
GEHCNCEO_00177	GT2
GEHCNCEO_00253	GT2
GEHCNCEO_00273	GH20
GEHCNCEO_00323	GH3
GEHCNCEO_00327	GH79
GEHCNCEO_00330	GH95
GEHCNCEO_00343	GT2
GEHCNCEO_00385	GH39
GEHCNCEO_00427	GT28
GEHCNCEO_00506	GH43_24
GEHCNCEO_00519	GT2
GEHCNCEO_00564	GT2
GEHCNCEO_00573	GH78
GEHCNCEO_00632	GH2
GEHCNCEO_00732	GH32
GEHCNCEO_00774	DOC
GEHCNCEO_00883	GT51
GEHCNCEO_00936	GH42
GEHCNCEO_00937	GT2
GEHCNCEO_00940	GT35
GEHCNCEO_01037	GH2
GEHCNCEO_01053	GH1
GEHCNCEO_01071	GH78
GEHCNCEO_01072	GH3
GEHCNCEO_01109	GH13_14
GEHCNCEO_01248	GH13_8
GEHCNCEO_01249	GT5
GEHCNCEO_01311	GT2
GEHCNCEO_01312	GT4
GEHCNCEO_01384	GH29
GEHCNCEO_01394	GH3
GEHCNCEO_01405	GH129
GEHCNCEO_01448	GT4
GEHCNCEO_01451	GT2
GEHCNCEO_01609	GH3
GEHCNCEO_01639	GT2
GEHCNCEO_01672	GH78
GEHCNCEO_01679	GH39
GEHCNCEO_01681	GH43
GEHCNCEO_01691	GH53-CBM61
GEHCNCEO_01728	GH3
GEHCNCEO_01732	GH18
GEHCNCEO_01751	GH77
GEHCNCEO_01796	GH20
GEHCNCEO_01812	CE9
GEHCNCEO_01829	GH125
GEHCNCEO_01832	CE9
GEHCNCEO_01835	CE9
GEHCNCEO_01844	CE15
GEHCNCEO_01855	GT4
GEHCNCEO_01876	GH3
GEHCNCEO_01940	GH51
GEHCNCEO_00008	GH38
GEHCNCEO_00018	GT4
GEHCNCEO_00056	GH5_46
GEHCNCEO_00092	GH3
GEHCNCEO_00116	GH29
GEHCNCEO_00575	GH2
GEHCNCEO_00578	GH1
GEHCNCEO_00706	GH2
GEHCNCEO_00749	GH109
GEHCNCEO_00751	CE14
GEHCNCEO_00792	GH2
GEHCNCEO_00822	GH5_46
GEHCNCEO_00928	CE9
GEHCNCEO_00941	GT5
GEHCNCEO_01003	GH27
GEHCNCEO_01377	GH3
GEHCNCEO_01407	GH2
GEHCNCEO_01694	GH13_36
GEHCNCEO_01797	GH3
GEHCNCEO_01798	GH78
GEHCNCEO_00019	GT2
ELJJNMAE_00007	GH105
ELJJNMAE_00008	CE12
ELJJNMAE_00029	GH8
ELJJNMAE_00038	GT5
ELJJNMAE_00095	CBM34-GH13_20
ELJJNMAE_00097	GH42
ELJJNMAE_00134	GT4
ELJJNMAE_00158	GH31
ELJJNMAE_00161	GT4
ELJJNMAE_00204	GH23
ELJJNMAE_00220	GH13_36
ELJJNMAE_00262	GT4
ELJJNMAE_00289	GH3
ELJJNMAE_00311	GH94
ELJJNMAE_00331	GT4-GT4
ELJJNMAE_00334	GT2
ELJJNMAE_00347	GH43_12
ELJJNMAE_00395	GT4
ELJJNMAE_00409	GT2
ELJJNMAE_00417	GH115
ELJJNMAE_00418	GH2
ELJJNMAE_00450	GH73
ELJJNMAE_00515	GH2
ELJJNMAE_00673	GT4
ELJJNMAE_00804	CBM4
ELJJNMAE_00899	GT2
ELJJNMAE_00949	GT2
ELJJNMAE_00969	CE9
ELJJNMAE_00985	GT4-GT4
ELJJNMAE_01025	GH2
ELJJNMAE_01069	GT4
ELJJNMAE_01071	GT4
ELJJNMAE_01104	GH31
ELJJNMAE_01138	PL12
ELJJNMAE_01139	GH88
ELJJNMAE_01153	GH28
ELJJNMAE_01190	GH3
ELJJNMAE_01197	GH73
ELJJNMAE_01227	GH106
ELJJNMAE_01267	GT2
ELJJNMAE_01288	GT8
ELJJNMAE_01290	GT2
ELJJNMAE_01291	GT4
ELJJNMAE_01304	GT2
ELJJNMAE_01332	CE2
ELJJNMAE_01345	GH3
ELJJNMAE_01354	GH18
ELJJNMAE_01462	CBM4-GH9
ELJJNMAE_01464	CBM4-CBM4
ELJJNMAE_01529	GT2
ELJJNMAE_01533	GT4
ELJJNMAE_01535	GT2
ELJJNMAE_01536	GT2
ELJJNMAE_01537	GT2
ELJJNMAE_01539	GT2
ELJJNMAE_01541	GT2
ELJJNMAE_01543	GT4
ELJJNMAE_01611	GH120
ELJJNMAE_01628	GT4
ELJJNMAE_01634	GH35
ELJJNMAE_01639	GT2
ELJJNMAE_01647	GT2
ELJJNMAE_01655	GT2
ELJJNMAE_01702	GH13_18
ELJJNMAE_01709	GH2
ELJJNMAE_01712	GH36
ELJJNMAE_01725	GH2
ELJJNMAE_01734	CBM48-GH13_11
ELJJNMAE_01754	GH13_20
ELJJNMAE_01766	GT2
ELJJNMAE_01823	GT4
ELJJNMAE_01839	GH3
ELJJNMAE_01863	GH25
ELJJNMAE_01865	GT4
ELJJNMAE_01890	GH105
ELJJNMAE_01891	CE8
ELJJNMAE_01916	GT2
ELJJNMAE_01953	GT35
ELJJNMAE_02047	GT2
ELJJNMAE_02072	GT2
ELJJNMAE_02120	GT2
ELJJNMAE_02203	GH25
ELJJNMAE_02235	GH25
ELJJNMAE_02388	GH133
ELJJNMAE_02399	GT4
ELJJNMAE_02400	GT2
ELJJNMAE_02459	GH106
ELJJNMAE_02460	GH78
ELJJNMAE_02465	GH2
ELJJNMAE_02497	GH55
ELJJNMAE_02553	GH13
ELJJNMAE_02554	GH43_28
ELJJNMAE_02646	GT4
ELJJNMAE_02654	GH13
ELJJNMAE_02682	GH3
ELJJNMAE_02727	GH9
ELJJNMAE_02758	GH3
ELJJNMAE_00009	GH112
ELJJNMAE_00175	GH43_12
ELJJNMAE_00210	GT2
ELJJNMAE_00456	GT4
ELJJNMAE_00484	GH31
ELJJNMAE_00519	GH2
ELJJNMAE_00708	GH53
ELJJNMAE_00896	GH94
ELJJNMAE_01059	GH3
ELJJNMAE_01092	GH42
ELJJNMAE_01160	GT2
ELJJNMAE_01179	GH25
ELJJNMAE_01208	GH5_46
ELJJNMAE_01245	GH2
ELJJNMAE_01269	GT2
ELJJNMAE_01335	GH13_18
ELJJNMAE_01538	GT4
ELJJNMAE_01571	CE4
ELJJNMAE_01657	GT2
ELJJNMAE_01775	GT2
ELJJNMAE_01819	GH2
ELJJNMAE_02117	GT2
ELJJNMAE_02123	CBM48-GH13_11
ELJJNMAE_02199	GT2
ELJJNMAE_02231	GT2
ELJJNMAE_02367	GT28
ELJJNMAE_02462	GH1
ELJJNMAE_02681	GH2
ELJJNMAE_02762	GH3
ELJJNMAE_00782	GT35
ELJJNMAE_01798	GT5
MNLGBCPI_00049	GH51
MNLGBCPI_00162	CE12
MNLGBCPI_00199	GT51
MNLGBCPI_00238	GH105
MNLGBCPI_00274	GT35
MNLGBCPI_00277	GH31
MNLGBCPI_00306	GH13_36
MNLGBCPI_00352	GH25
MNLGBCPI_00359	GH77
MNLGBCPI_00398	GH115
MNLGBCPI_00399	GH2
MNLGBCPI_00401	GH3
MNLGBCPI_00425	GH3
MNLGBCPI_00435	GH32
MNLGBCPI_00515	GT35
MNLGBCPI_00526	GH94
MNLGBCPI_00531	GH3
MNLGBCPI_00543	GT4
MNLGBCPI_00560	GH3
MNLGBCPI_00575	CBM4-GH9
MNLGBCPI_00577	GH9
MNLGBCPI_00670	GH2
MNLGBCPI_00709	GT111
MNLGBCPI_00928	GT51
MNLGBCPI_01010	GH8
MNLGBCPI_01049	GH16_3-CBM4-CBM4-CBM4-CBM4
MNLGBCPI_01081	GT2
MNLGBCPI_01225	GH25
MNLGBCPI_01229	GH23
MNLGBCPI_01380	GH18
MNLGBCPI_01477	PL12
MNLGBCPI_01478	GH88
MNLGBCPI_01487	GH28
MNLGBCPI_01557	GT2
MNLGBCPI_01562	GT2
MNLGBCPI_01565	GT2
MNLGBCPI_01566	GT2
MNLGBCPI_01567	GT2
MNLGBCPI_01573	GH51
MNLGBCPI_01612	GH28
MNLGBCPI_01713	CE8
MNLGBCPI_01714	GH105
MNLGBCPI_01750	CBM34-GH13_20
MNLGBCPI_01864	GH3
MNLGBCPI_01891	GT4
MNLGBCPI_01957	GT4
MNLGBCPI_01965	GT2
MNLGBCPI_01969	GT4-GT4
MNLGBCPI_02016	GT2
MNLGBCPI_00173	GH13
MNLGBCPI_00417	GH5_37
MNLGBCPI_00423	GH3
MNLGBCPI_00428	GH3
MNLGBCPI_00542	GT4
MNLGBCPI_00617	GT2
MNLGBCPI_00690	GH2
MNLGBCPI_00707	GT2
MNLGBCPI_00708	GT2
MNLGBCPI_00764	GT2
MNLGBCPI_00766	GT2
MNLGBCPI_00824	GH2
MNLGBCPI_00830	GH43_35
MNLGBCPI_00870	CE4
MNLGBCPI_00917	GH55
MNLGBCPI_01019	GH120
MNLGBCPI_01034	GT2
MNLGBCPI_01104	GH36
MNLGBCPI_01107	GH2
MNLGBCPI_01135	GT2
MNLGBCPI_01159	GT28
MNLGBCPI_01170	GH13_11
MNLGBCPI_01200	GT4
MNLGBCPI_01223	GT4
MNLGBCPI_01290	CBM34-GH13
MNLGBCPI_01314	GH25
MNLGBCPI_01390	GH43_4
MNLGBCPI_01391	GH43_26
MNLGBCPI_01479	GH2
MNLGBCPI_01500	GT2
MNLGBCPI_01503	GT2-GT2
MNLGBCPI_01587	GH43_22
MNLGBCPI_01610	CE12
MNLGBCPI_01611	GH43_10
MNLGBCPI_01844	GT2-GT2
MNLGBCPI_01928	GH133
MNLGBCPI_00165	CBM48-GH13_9
MNLGBCPI_00436	GH13_18
MNLGBCPI_00750	GT2
MNLGBCPI_02032	GT5
LEADPIBK_00039	GT2
LEADPIBK_00043	GT4
LEADPIBK_00045	GT1-GT4
LEADPIBK_00046	GH5_2
LEADPIBK_00077	GH5
LEADPIBK_00086	GH13_11
LEADPIBK_00128	GT2
LEADPIBK_00173	GT8
LEADPIBK_00174	GT32
LEADPIBK_00184	GH78
LEADPIBK_00188	GH3
LEADPIBK_00207	GH78
LEADPIBK_00213	GT2
LEADPIBK_00222	GH2
LEADPIBK_00225	GH35
LEADPIBK_00359	GH13_31
LEADPIBK_00391	GT2
LEADPIBK_00396	GH39
LEADPIBK_00484	CE4
LEADPIBK_00524	CE9
LEADPIBK_00550	GH95
LEADPIBK_00572	GH3
LEADPIBK_00580	GH13_11
LEADPIBK_00647	GH77
LEADPIBK_00708	CBM50
LEADPIBK_00737	GT2
LEADPIBK_00767	GT35
LEADPIBK_00776	CE4
LEADPIBK_00787	GH78
LEADPIBK_00830	GH43_12
LEADPIBK_00840	GH39
LEADPIBK_00841	GH39
LEADPIBK_00944	GH78
LEADPIBK_01003	GT2
LEADPIBK_01013	GT2
LEADPIBK_01100	GH36
LEADPIBK_01106	GT2
LEADPIBK_01139	GH106
LEADPIBK_01612	GH2
LEADPIBK_01621	GH43
LEADPIBK_01815	GH31
LEADPIBK_01817	GH31
LEADPIBK_01840	GH106
LEADPIBK_01886	GH120
LEADPIBK_01941	GH3
LEADPIBK_02020	GT5
LEADPIBK_02030	GH2
LEADPIBK_02034	GH13_4
LEADPIBK_02044	GH3
LEADPIBK_02083	CBM48-GH13_9
LEADPIBK_02118	GH43_35
LEADPIBK_02135	CBM34-GH13
LEADPIBK_02259	GH4
LEADPIBK_02266	GH3
LEADPIBK_00044	GT1
LEADPIBK_00247	GH18
LEADPIBK_00392	GT2-GT2
LEADPIBK_00469	GH51
LEADPIBK_00780	GH13
LEADPIBK_00788	GH2
LEADPIBK_00812	GH36
LEADPIBK_00834	GH106
LEADPIBK_00858	GH32
LEADPIBK_01039	GT28
LEADPIBK_01102	GT2
LEADPIBK_01107	GT2
LEADPIBK_01423	GH78
LEADPIBK_01480	GH78
LEADPIBK_01483	GH3
LEADPIBK_01757	GH78
LEADPIBK_01818	GH127
LEADPIBK_02033	GH36
LEADPIBK_02132	GH13_31
LEADPIBK_02428	GH3
LEADPIBK_00807	GH3
LEADPIBK_00948	GH43_35
LEADPIBK_01369	GH94
LEADPIBK_01484	GH4
LEADPIBK_01644	GT2
LEADPIBK_01778	GT5
FJFIIHJF_00063	GT2
FJFIIHJF_00209	CE4
FJFIIHJF_00267	GT4
FJFIIHJF_00290	GH25
FJFIIHJF_00292	GT35
FJFIIHJF_00297	GT51
FJFIIHJF_00346	GH13_31
FJFIIHJF_00363	GH36
FJFIIHJF_00374	GH13_9
FJFIIHJF_00429	GT2
FJFIIHJF_00430	GT2
FJFIIHJF_00471	GT2
FJFIIHJF_00475	GT2
FJFIIHJF_00532	GT111
FJFIIHJF_00533	GT2
FJFIIHJF_00536	GH18
FJFIIHJF_00886	GH13_11
FJFIIHJF_00927	GT2
FJFIIHJF_01010	GT4
FJFIIHJF_01190	GT2
FJFIIHJF_01286	GT2-GT2
FJFIIHJF_01319	GH106
FJFIIHJF_01322	GH2
FJFIIHJF_01395	GT28
FJFIIHJF_01632	GH13
FJFIIHJF_01716	GH39
FJFIIHJF_01753	GH25
FJFIIHJF_00654	GT5
FJFIIHJF_01769	GH120
EBFDLAED_00325	GT2-GT2
EBFDLAED_00329	GT2
EBFDLAED_00345	GT2
EBFDLAED_00366	GH18
EBFDLAED_00948	CE4
EBFDLAED_00114	GT28
EBFDLAED_00323	GT2
EBFDLAED_00326	GT2
EBFDLAED_00338	GT2-GT2
EBFDLAED_00468	GT2
GKIOCPCL_00101	GT2
GKIOCPCL_00198	GH42
GKIOCPCL_00229	GH78
GKIOCPCL_00264	GH2
GKIOCPCL_00265	GT5
GKIOCPCL_00290	GT28
GKIOCPCL_00341	GT2
GKIOCPCL_00422	GT8-GT8
GKIOCPCL_00467	GT2
GKIOCPCL_00488	CE1
GKIOCPCL_00564	GH78
GKIOCPCL_00674	GH13_9
GKIOCPCL_00684	GH3
GKIOCPCL_00687	GH73
GKIOCPCL_00692	GH1
GKIOCPCL_00704	GH78
GKIOCPCL_00797	GH51
GKIOCPCL_00831	GH77
GKIOCPCL_00833	GH3
GKIOCPCL_00885	GH55
GKIOCPCL_00916	GH25
GKIOCPCL_00966	GT4
GKIOCPCL_00967	GT2
GKIOCPCL_01027	GH39
GKIOCPCL_01182	GT2
GKIOCPCL_01316	GH18
GKIOCPCL_01335	GT2
GKIOCPCL_01336	GT2
GKIOCPCL_01374	CE4
GKIOCPCL_01530	GH39
GKIOCPCL_01549	GT2
GKIOCPCL_00239	GT2
GKIOCPCL_01289	GT2
PFIGAMCC_00005	GH25
PFIGAMCC_00191	GH3
PFIGAMCC_00192	GT2
PFIGAMCC_00203	GH3
PFIGAMCC_00205	GH3
PFIGAMCC_00206	GH3
PFIGAMCC_00208	GH3
PFIGAMCC_00210	GH3
PFIGAMCC_00211	GH2
PFIGAMCC_00212	GH3
PFIGAMCC_00215	GH3
PFIGAMCC_00233	GH78
PFIGAMCC_00280	GH18
PFIGAMCC_00334	GH25
PFIGAMCC_00403	GH3
PFIGAMCC_00404	GH3
PFIGAMCC_00430	GT5
PFIGAMCC_00443	GT2
PFIGAMCC_00444	GT2
PFIGAMCC_00448	GT111
PFIGAMCC_00456	CBM13
PFIGAMCC_00476	GH39
PFIGAMCC_00489	GT2
PFIGAMCC_00491	GT2
PFIGAMCC_00559	CBM34-GH13_39
PFIGAMCC_00563	GT35
PFIGAMCC_00660	GH39
PFIGAMCC_00681	DOC
PFIGAMCC_00727	GH3
PFIGAMCC_00730	GH3
PFIGAMCC_00732	GH3
