GeneID	CAZy
PBMDCECB_206070	GT2
PBMDCECB_206111	GT4
PBMDCECB_206143	GH43_10
PBMDCECB_206149	GH26
PBMDCECB_206173	GH36
PBMDCECB_206219	GT32
PBMDCECB_206231	CBM51
PBMDCECB_206337	GT2
PBMDCECB_206363	GH3
PBMDCECB_206440	GH43_29-CBM6
PBMDCECB_206474	GH29
PBMDCECB_206482	GT2
PBMDCECB_206547	CBM50
PBMDCECB_206564	GH29-CBM32
PBMDCECB_206609	GH3
PBMDCECB_206623	GT2
PBMDCECB_206718	GH5_4
PBMDCECB_206748	GT2
PBMDCECB_206759	GT2
PBMDCECB_206953	GT2
PBMDCECB_206963	GT14
PBMDCECB_206974	PL10
PBMDCECB_206999	GT4
PBMDCECB_207151	CBM32
PBMDCECB_207277	GT2
PBMDCECB_207278	GT2
PBMDCECB_207315	GH57
PBMDCECB_207335	GH3
PBMDCECB_207378	GH8
PBMDCECB_207449	GH4
PBMDCECB_207454	GH33
PBMDCECB_207623	GT2
PBMDCECB_207652	GH106
PBMDCECB_207668	CBM50
PBMDCECB_207828	GT26
PBMDCECB_207849	GH43_5-CBM35
PBMDCECB_207904	GH13_39
PBMDCECB_208105	GH130
PBMDCECB_208162	GH2
PBMDCECB_208225	GH25
PBMDCECB_208354	GT4
PBMDCECB_208381	GH23
PBMDCECB_208391	GT4
PBMDCECB_208442	GT8
PBMDCECB_208483	GT4-GT4
PBMDCECB_208538	GH42
PBMDCECB_208547	GT2
PBMDCECB_208591	GT2
PBMDCECB_208592	GT8
PBMDCECB_208630	GT4
PBMDCECB_208667	GT2
PBMDCECB_208681	CBM50
PBMDCECB_208712	GT2
PBMDCECB_208871	GH51
PBMDCECB_208883	CBM6
PBMDCECB_208926	GH31
PBMDCECB_208959	GH28
PBMDCECB_208963	GH77
PBMDCECB_209006	GT51
PBMDCECB_209011	GH120
PBMDCECB_209065	GH2
PBMDCECB_209103	GT2
PBMDCECB_209364	GT35
PBMDCECB_209365	GT4
PBMDCECB_209400	GH78
PBMDCECB_209527	GT8
PBMDCECB_209531	GH50
PBMDCECB_209536	GT2
PBMDCECB_209582	GT111
PBMDCECB_209609	GH2
PBMDCECB_209673	GH115
PBMDCECB_209693	GT4
PBMDCECB_209700	GT2
PBMDCECB_209816	GH77
PBMDCECB_210045	GT2
PBMDCECB_210048	GH27-CBM35
PBMDCECB_210093	GH25
PBMDCECB_210203	GT2
PBMDCECB_210298	GT2
PBMDCECB_210400	GT2
PBMDCECB_210424	GH1
PBMDCECB_210471	GT2
PBMDCECB_210662	GH1
PBMDCECB_210760	GH43_34
PBMDCECB_210792	CBM50
PBMDCECB_210877	GH115
PBMDCECB_210955	GH55
PBMDCECB_211011	GT111
PBMDCECB_211116	GH115
PBMDCECB_211221	GH9
PBMDCECB_211284	GH3
PBMDCECB_211313	DOC
PBMDCECB_211356	GH20
PBMDCECB_211404	GH9
PBMDCECB_211405	GH9
PBMDCECB_211406	GH9
PBMDCECB_211420	GT2-GT2
PBMDCECB_211472	GT4
PBMDCECB_211474	GT2
PBMDCECB_211485	GT4
PBMDCECB_211518	GH23
PBMDCECB_211524	GH1
PBMDCECB_211567	GT51
PBMDCECB_211601	GH92
PBMDCECB_211753	GT4
PBMDCECB_211840	GH73
PBMDCECB_211927	GT4
PBMDCECB_211976	CBM72
PBMDCECB_212033	GT4
PBMDCECB_212039	GH2
PBMDCECB_212153	GH43_17
PBMDCECB_212286	DOC
PBMDCECB_212308	GH2
PBMDCECB_212326	GH43_28-CBM32
PBMDCECB_212340	CBM48
PBMDCECB_212342	GT2
PBMDCECB_212361	GH77
PBMDCECB_212394	GH43_35
PBMDCECB_212444	GH125
PBMDCECB_212649	GH33
PBMDCECB_212792	GH13_14
PBMDCECB_212807	GH97
PBMDCECB_212822	GH154
PBMDCECB_212880	GH77
PBMDCECB_212928	GT28
PBMDCECB_213063	GT11
PBMDCECB_213210	GH23
PBMDCECB_213227	GT2
PBMDCECB_213258	GH5_4
PBMDCECB_213310	GT4
PBMDCECB_213351	CBM12
PBMDCECB_213355	GH3
PBMDCECB_213417	GT2
PBMDCECB_213485	GT4
PBMDCECB_213800	GT2
PBMDCECB_213819	GH51
PBMDCECB_213938	GT5
PBMDCECB_213943	GT2
PBMDCECB_213975	DOC
PBMDCECB_214023	GT2
PBMDCECB_214054	GH16_3
PBMDCECB_214056	GT5
PBMDCECB_214069	GH13_38
PBMDCECB_214132	GT2
PBMDCECB_214180	GH33
PBMDCECB_214196	GH29
PBMDCECB_214229	GT4
PBMDCECB_214257	GH77
PBMDCECB_214260	GT2
PBMDCECB_214278	GH5_10
PBMDCECB_214295	GH43_35-CBM6
PBMDCECB_214449	GT4
PBMDCECB_214499	GH97
PBMDCECB_214570	GH57
PBMDCECB_214593	GT2
PBMDCECB_214637	GT2
PBMDCECB_214696	GT2
PBMDCECB_214723	GH5_4
PBMDCECB_214743	GH16_25
PBMDCECB_214813	GT2
PBMDCECB_214902	GH13_14
PBMDCECB_214930	GT5
PBMDCECB_214956	GT4
PBMDCECB_215069	GT2
PBMDCECB_215122	GT2
PBMDCECB_215149	GT4
PBMDCECB_215175	GT32
PBMDCECB_215323	GH2
PBMDCECB_215433	GT5
PBMDCECB_215512	GH154
PBMDCECB_215582	GH16_21
PBMDCECB_215666	GT11
PBMDCECB_215678	GT4
PBMDCECB_215797	GH43_34-CBM32
PBMDCECB_215819	GH73
PBMDCECB_215840	GH29
PBMDCECB_215948	GT2
PBMDCECB_215949	GT2
PBMDCECB_216047	GT2
PBMDCECB_216055	PL1
PBMDCECB_216056	GT2
PBMDCECB_216063	GT4
PBMDCECB_216083	CBM50
PBMDCECB_216133	GT2
PBMDCECB_216171	GH23
PBMDCECB_216229	GH105
PBMDCECB_216235	GH13_11
PBMDCECB_216472	GH16_3
PBMDCECB_216552	GT32
PBMDCECB_216640	GT2
PBMDCECB_216716	GH77
PBMDCECB_216793	GH23
PBMDCECB_216799	DOC
PBMDCECB_216887	GT2
PBMDCECB_216933	GT2
PBMDCECB_216936	GT26
PBMDCECB_216939	GH24
PBMDCECB_217021	GH84
PBMDCECB_217046	GH130
PBMDCECB_217053	GH25
PBMDCECB_217208	GT2
PBMDCECB_217220	CBM62
PBMDCECB_217259	GT4
PBMDCECB_217303	GH31
PBMDCECB_217320	GT26
PBMDCECB_217386	GT51
PBMDCECB_217465	GT4
PBMDCECB_217477	GT4
PBMDCECB_217481	GT2
PBMDCECB_217491	GT2
PBMDCECB_217564	GT4
PBMDCECB_217565	GT4
PBMDCECB_217573	GH94
PBMDCECB_217621	GT4
PBMDCECB_217656	GT2
PBMDCECB_217681	GT19
PBMDCECB_217774	GT4
PBMDCECB_217784	GH36
PBMDCECB_217878	GT2
PBMDCECB_217963	GH97
PBMDCECB_218213	GH133
PBMDCECB_218390	GH36
PBMDCECB_218403	GT2
PBMDCECB_218418	GT2
PBMDCECB_218458	GT111
PBMDCECB_218622	GH43_10
PBMDCECB_218626	GH2
PBMDCECB_218632	GH20
PBMDCECB_218721	GH3
PBMDCECB_218743	PL35
PBMDCECB_218861	GT4
PBMDCECB_218896	GH13_11
PBMDCECB_218911	CBM6
PBMDCECB_218979	GH43_16-CBM6
PBMDCECB_219016	CBM32
PBMDCECB_219051	GH1
PBMDCECB_219176	GT35
PBMDCECB_219321	GH3
PBMDCECB_219566	GH23
PBMDCECB_219594	GH23
PBMDCECB_219606	GH13_42-CBM26
PBMDCECB_219767	GH43_4
PBMDCECB_219993	GT4
PBMDCECB_220018	GH20
PBMDCECB_220117	CBM26
PBMDCECB_220139	GT2
PBMDCECB_220281	GH120
PBMDCECB_220300	GT30
PBMDCECB_220324	GT4
PBMDCECB_220337	GH3
PBMDCECB_220390	CBM72
PBMDCECB_220394	GH32
PBMDCECB_220450	GH28
PBMDCECB_220451	GH159
PBMDCECB_220460	GH2
PBMDCECB_220548	GH67
PBMDCECB_220587	GT2
PBMDCECB_220588	GT2
PBMDCECB_220607	GT4
PBMDCECB_220693	GH13_4
PBMDCECB_220717	GH89
PBMDCECB_220758	GT4
PBMDCECB_220768	GH2
PBMDCECB_220801	GT2
PBMDCECB_220862	GT19
PBMDCECB_220863	GH13_38
PBMDCECB_220866	CBM13
PBMDCECB_220953	GH13
PBMDCECB_220980	GH29-CBM32
PBMDCECB_220994	GH77
PBMDCECB_221060	GH13
PBMDCECB_221106	GH5_4
PBMDCECB_221115	GT4
PBMDCECB_221161	CBM50-CBM50
PBMDCECB_221181	GT104
PBMDCECB_221212	CBM57
PBMDCECB_221237	GT2
PBMDCECB_221311	GT4
PBMDCECB_221347	GT9
PBMDCECB_221543	GT2
PBMDCECB_221648	GH1
PBMDCECB_221738	GH105
PBMDCECB_221753	GT5
PBMDCECB_221787	GT2
PBMDCECB_221815	GH2
PBMDCECB_221831	GT4
PBMDCECB_221923	GT4
PBMDCECB_221967	GT2
PBMDCECB_221973	GH77
PBMDCECB_221981	GT4
PBMDCECB_222069	GT4
PBMDCECB_222132	GH25
PBMDCECB_222187	GT19
PBMDCECB_222191	GT2
PBMDCECB_222414	GH29
PBMDCECB_222439	GH65
PBMDCECB_222561	GT11
PBMDCECB_222685	GT2
PBMDCECB_222695	GT2
PBMDCECB_222715	CBM48
PBMDCECB_222767	GT4
PBMDCECB_222828	GT8
PBMDCECB_222864	PL33
PBMDCECB_222945	GH77
PBMDCECB_222956	GH120
PBMDCECB_222987	GH105
PBMDCECB_222993	GH43_28
PBMDCECB_223070	GT2
PBMDCECB_223093	GH20
PBMDCECB_223113	GT2
PBMDCECB_223115	GT4
PBMDCECB_223172	GH20
PBMDCECB_223187	CBM50
PBMDCECB_223198	GT2
PBMDCECB_223264	GH95
PBMDCECB_223307	GH2
PBMDCECB_223356	GH31-CBM72
PBMDCECB_223387	GT2
PBMDCECB_223390	GT4
PBMDCECB_223393	GT4
PBMDCECB_223397	GT2
